,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
93,social media,Track time,0,Text length,10000,Duration,10,221,79,972,209,0.7278644147722024,0.34287489839742324,35.010972850678726,0.8531440387515457,0.5487507497468921,32.88870814219832
94,social media,Track time,0,Text length,10000,Duration,15,131,79,972,209,0.7214822620650634,0.34921932114455995,34.50744051963217,0.8456818592408876,0.5594394399910514,32.097024127533864
95,social media,Track time,0,Text length,10000,Duration,20,95,79,972,209,0.7097293305097248,0.3422127587134471,35.29287671498413,0.839315178613934,0.549223126051414,33.180697173834176
96,social media,Track time,0,Text length,10000,Duration,25,74,79,972,209,0.6991855166519058,0.3240936055485798,35.04033067682634,0.836179959308876,0.5324714683102937,32.3987974750128
97,social media,Track time,0,Text length,10000,Duration,30,58,79,972,209,0.6960783076493068,0.3204014885766363,35.454171476398,0.8387828310915999,0.5343834158026172,32.97793758775782
98,social media,Track time,0,Text length,10000,Duration,40,40,79,972,209,0.6968558881010762,0.31323435697679275,35.449273286776084,0.8386925319879537,0.5236186213108636,33.14548888725796
99,social media,Track time,0,Text length,10000,Duration,50,28,79,972,209,0.6839877742956807,0.30921802562676975,35.506166177564786,0.8304801898981689,0.5293155514312615,31.43548291758843
100,social media,Track time,0,Text length,10000,Duration,75,11,79,972,209,0.6415806816506909,0.257099432986328,38.69928952666323,0.8140641978113284,0.4747450414669614,35.5356252966887
101,social media,Track time,0,Text length,10000,Duration,100,8,79,972,209,0.6440180600383504,0.27666231924867474,38.82335900557141,0.8173515212068916,0.49661094915609133,36.193313990706876
102,social media,Track time,0,Text length,10000,Duration,125,5,79,972,209,0.6479714311596682,0.27725705985058646,39.174206423521696,0.8138281455423906,0.4855548564596001,37.02955758173835
103,social media,Track time,0,Text length,10000,Duration,150,4,79,972,209,0.653945358990246,0.27333730365221437,39.22073247811227,0.8235979190368874,0.48895224597173464,37.358401928747426
104,social media,Track time,5,Text length,0,Duration,0,503,937,952,209,0.850935804539212,0.42305578830367896,24.412628011545472,0.9022573422923869,0.541700494651957,20.637483119521356
105,social media,Track time,5,Text length,0,Duration,5,323,937,952,209,0.8545275771563529,0.4277430999301267,24.152841947365985,0.9046561417028832,0.5477753338203755,20.72686608916144
106,social media,Track time,5,Text length,0,Duration,10,221,937,952,209,0.8566012608132243,0.44301877043342963,24.47281203699582,0.90477860163194,0.5636401716302462,21.63178656833427
107,social media,Track time,5,Text length,0,Duration,15,131,937,952,209,0.8509382296026812,0.44570042494830214,25.698929739013703,0.9038442388652702,0.5811696663969315,23.474400824644242
108,social media,Track time,5,Text length,0,Duration,20,95,937,952,209,0.8455172060411049,0.43853428043397047,26.982816259458236,0.8998492623858774,0.568993549774046,25.23001870196367
109,social media,Track time,5,Text length,0,Duration,25,74,937,952,209,0.8428494654582185,0.4253337454358198,27.609530454701687,0.8976998044106709,0.5528025568159373,25.915520153688504
110,social media,Track time,5,Text length,0,Duration,30,58,937,952,209,0.8417600299286379,0.42153776615530153,26.54859549925704,0.898004437324849,0.5496181924778645,24.499148296052315
111,social media,Track time,5,Text length,0,Duration,40,40,937,952,209,0.8433409613046354,0.4169227099486566,24.9694378772578,0.8978227543380358,0.5408547525012465,21.621075981704326
112,social media,Track time,5,Text length,0,Duration,50,28,937,952,209,0.8299873154277146,0.40750441905844564,27.6327084651945,0.8960293648359057,0.557489487561139,25.434995954689477
113,social media,Track time,5,Text length,0,Duration,75,11,937,952,209,0.8041116224598368,0.3561866002036711,31.504809526819994,0.88546889127262,0.5110351218592523,29.4272134593618
114,social media,Track time,5,Text length,0,Duration,100,8,937,952,209,0.806313254472192,0.37343534573861914,31.703546792795805,0.8853004794735688,0.5214646622745127,29.981782534121344
115,social media,Track time,5,Text length,0,Duration,125,5,937,952,209,0.8226478340101422,0.38910241367709486,30.237050265576194,0.890947520757784,0.5247022053490495,28.22955922643259
116,social media,Track time,5,Text length,0,Duration,150,4,937,952,209,0.8230241731956879,0.3819838413810397,30.42945177025691,0.8916206008280994,0.5172671643232534,28.53792681798007
117,social media,Track time,5,Text length,100,Duration,0,503,936,952,209,0.8507237961178163,0.4215806897277343,24.44678258841772,0.9022195767722131,0.5402544397418304,20.651068103769454
118,social media,Track time,5,Text length,100,Duration,5,323,936,952,209,0.8543259676153385,0.4262979286876644,24.185638631469338,0.9046070818410136,0.5463360001456479,20.75998118767356
119,social media,Track time,5,Text length,100,Duration,10,221,936,952,209,0.8564181271549737,0.44164691224087577,24.503036634641006,0.9047091288455336,0.5622270870256254,21.66230460867504
120,social media,Track time,5,Text length,100,Duration,15,131,936,952,209,0.8506627543203579,0.4442603008233621,25.72553093023346,0.9037111558496437,0.5796917871026678,23.50126027985642
121,social media,Track time,5,Text length,100,Duration,20,95,936,952,209,0.8452480509844079,0.4370985987391707,27.008395289597463,0.8997342289366304,0.5675282519876643,25.25584607220134
122,social media,Track time,5,Text length,100,Duration,25,74,936,952,209,0.842590783398058,0.423878720515969,27.63510948484092,0.8976060453565152,0.5513301427599482,25.941347523926176
123,social media,Track time,5,Text length,100,Duration,30,58,936,952,209,0.8415119834436094,0.42007417394581487,26.576595312677526,0.8979334738912647,0.5481568543599309,24.527419952321537
124,social media,Track time,5,Text length,100,Duration,40,40,936,952,209,0.843100853415482,0.41544084872610837,25.002345114285614,0.8977604949662046,0.5393802264761601,21.65430270647028
125,social media,Track time,5,Text length,100,Duration,50,28,936,952,209,0.8296909068377455,0.40609528261171784,27.657499322992408,0.8958948450786863,0.5560047046853028,25.46002750042717
126,social media,Track time,5,Text length,100,Duration,75,11,936,952,209,0.8037884030386796,0.35480567354084325,31.525934014504994,0.8853281118557678,0.5095030080558594,29.44854303916025
127,social media,Track time,5,Text length,100,Duration,100,8,936,952,209,0.8059997974414013,0.3720576771441321,31.724671280480806,0.885177147106808,0.5199652201929456,30.003112113919787
128,social media,Track time,5,Text length,100,Duration,125,5,936,952,209,0.8223755552778815,0.38766076477613,30.26054276700326,0.8908736013981017,0.5232131867848782,28.25327981039778
129,social media,Track time,5,Text length,100,Duration,150,4,936,952,209,0.8227605873499456,0.3805214895037466,30.452944271683975,0.8915638310351579,0.5157688157676981,28.561647401945258
130,social media,Track time,5,Text length,1000,Duration,0,503,885,952,209,0.8528288325522767,0.4268648571706832,24.24818771281257,0.9033271276523877,0.5425487424856661,21.077383081438384
131,social media,Track time,5,Text length,1000,Duration,5,323,885,952,209,0.8566018830098933,0.43184616342922105,23.917259780255158,0.9055624629191739,0.5483648760013435,20.725502769525647
132,social media,Track time,5,Text length,1000,Duration,10,221,885,952,209,0.8584964368659488,0.4474840889263405,23.658934461357738,0.9053136016273367,0.5641989063356924,20.34100980745342
133,social media,Track time,5,Text length,1000,Duration,15,131,885,952,209,0.8519982336706994,0.4492653358975854,24.286972849294063,0.9039806175402004,0.5817592086525512,21.46513955375293
134,social media,Track time,5,Text length,1000,Duration,20,95,885,952,209,0.8468579027986557,0.44254752601503533,25.23716504706323,0.9004288766293264,0.570444363532964,22.86113419660443
135,social media,Track time,5,Text length,1000,Duration,25,74,885,952,209,0.8443708892780557,0.42914964561479607,25.826209157575175,0.8985815970255534,0.5543177170331899,23.663721443730783
136,social media,Track time,5,Text length,1000,Duration,30,58,885,952,209,0.843145007263468,0.42505935957541485,25.008097747647156,0.8989828602088453,0.5511356360506563,22.04868836173623
137,social media,Track time,5,Text length,1000,Duration,40,40,885,952,209,0.8441422376220659,0.41928408558663716,25.12262753100063,0.8987166066556119,0.5417155640695183,22.45561056926633
138,social media,Track time,5,Text length,1000,Duration,50,28,885,952,209,0.828025126251607,0.4064469103687931,28.423924831283944,0.895486621870027,0.5562848978755202,26.514426972861767
139,social media,Track time,5,Text length,1000,Duration,75,11,885,952,209,0.799919631704582,0.35215544518046865,31.86705062639315,0.8829843231621174,0.5049316168450763,29.60792759551732
140,social media,Track time,5,Text length,1000,Duration,100,8,885,952,209,0.8029525661712906,0.3708934810810292,32.03429461507707,0.8836981006028077,0.5175861081247891,30.161644296848596
141,social media,Track time,5,Text length,1000,Duration,125,5,885,952,209,0.8209796653208979,0.3881966951351697,30.733584963609974,0.8904205197016017,0.5224201699756132,28.77268453231392
142,social media,Track time,5,Text length,1000,Duration,150,4,885,952,209,0.8220284321865795,0.38154491455880446,30.913018166791996,0.8915009792424547,0.5153184350843183,29.08976524809538
143,social media,Track time,5,Text length,2000,Duration,0,503,763,952,209,0.8406612681988702,0.41545162141013975,25.734957066214157,0.9004795639567845,0.5421845761608167,22.469534397882533
144,social media,Track time,5,Text length,2000,Duration,5,323,763,952,209,0.8451024520882612,0.42075278929467713,25.16257062083481,0.9029771903229726,0.548332484352231,22.029096839841795
145,social media,Track time,5,Text length,2000,Duration,10,221,763,952,209,0.8465063459071572,0.4358327058855649,24.750528445587115,0.9023219312127173,0.5640545563653396,21.26306860411197
146,social media,Track time,5,Text length,2000,Duration,15,131,763,952,209,0.8389996951725995,0.4371580942918051,25.70398566163012,0.8998960895457786,0.5801506141708248,22.61980178173425
147,social media,Track time,5,Text length,2000,Duration,20,95,763,952,209,0.8331331034496439,0.43027157177674635,26.961464244571832,0.8966784009695165,0.569931080141887,24.57343085759871
148,social media,Track time,5,Text length,2000,Duration,25,74,763,952,209,0.8293353187769762,0.415234732922345,27.77828701327273,0.8944218699554174,0.5525684786187924,25.368164153174675
149,social media,Track time,5,Text length,2000,Duration,30,58,763,952,209,0.8283308524033247,0.4116577416538714,26.91324111631874,0.8953829350785547,0.5505110558370571,23.782069198065706
150,social media,Track time,5,Text length,2000,Duration,40,40,763,952,209,0.8300606656558099,0.4065056457699101,26.182103399579955,0.8951110591395665,0.5406084121126681,22.59352409849424
151,social media,Track time,5,Text length,2000,Duration,50,28,763,952,209,0.8114705677358751,0.39214357650610715,29.40958360000226,0.8901791208538995,0.5524816463108145,27.152724570021668
152,social media,Track time,5,Text length,2000,Duration,75,11,763,952,209,0.7803630884320765,0.3369145829866803,33.55982040448061,0.8747993192169027,0.49549753245415795,31.544023820097085
153,social media,Track time,5,Text length,2000,Duration,100,8,763,952,209,0.7840629991376414,0.3565645960143828,33.742191672187474,0.8767812606999703,0.5111749157594702,32.101117075748306
